symbol,symbolName,fullName,shortJobTitle,transactionType,amount,reportedPrice,usdValue,eodHolding,transactionDate,symbolCode,hasOptions,symbolType
OSIS,O S I Systems Inc,Paul Keith Morben,Pres.,Sell,416,279.1,116105,8540.0,2025-11-07,STK,Yes,1
OSIS,O S I Systems Inc,James B Hawkins,N/A,Sell,1500,283.15,424725,5036.0,2025-11-07,STK,Yes,1
UP,Wheels Up Experience Inc,Meaghan Danielle Wells,Chf Dev. Off.,Sell,47931,1.22,58475,526681.0,2025-11-07,STK,Yes,1
UP,Wheels Up Experience Inc,Mark Briffa,Chf Sales Off.,Sell,86813,1.23,106780,866670.0,2025-11-07,STK,Yes,1
EWBC,East West Bancorp,Molly Campbell,N/A,Sell,1000,102.214,102214,10076.0,2025-11-07,STK,Yes,1
LENZ,Lenz Therapeutics Inc,Daniel R Chevallard,CFO,Buy,2198,22.7557,50018,5386.0,2025-11-07,STK,Yes,1
LTC,Ltc Properties,David L Gruber,N/A,Buy,5000,35.512,177561,29834.0,2025-11-07,STK,Yes,1
PSA-L,Public Storage [Psa/Pl],American Shareholder,N/A,Sell,478,25.15,12022,391079.0,2025-11-07,UIT,No,11
TDUP,Thredup Inc Cl A,James G Reinhart,CEO,Sell,379826,7.932,3012780,573851.0,2025-11-07,STK,Yes,1
TDUP,Thredup Inc Cl A,James G Reinhart,CEO,Sell,200000,7.9492,1589840,0.0,2025-11-07,STK,Yes,1
TRNO,Terreno Realty Corp,John Tull Meyer,COO,Sell,4758,59.95,285242,187263.0,2025-11-07,STK,Yes,1
MNRO,Monro Muffler Brak,Carl Celian Icahn,N/A,Buy,638659,17.3839,11102384,5078573.0,2025-11-07,STK,Yes,1
PI,Impinj Inc,Miron L Washington,N/A,Sell,342,158.9374,54356,2040.0,2025-11-07,STK,Yes,1
AKAM,Akamai Technologies,Dr Robert Blumofe,CTO,Sell,3500,86.0,301000,24474.0,2025-11-07,STK,Yes,1
JPM,JP Morgan Chase & Company,Robin Leopold,HR,Sell,966,311.9162,301311,77145.0,2025-11-07,STK,Yes,1
BDX,Becton Dickinson and Company,Bertram L Scott,N/A,Sell,217,176.58,38318,35816.0,2025-11-07,STK,Yes,1
FHI,Federated Investors,Peter J Germain,CLO,Sell,5000,49.2242,246121,206324.0,2025-11-07,STK,Yes,1
NGS,Natural Gas Services Group,Stephen Charles Taylor,Chair Emeritus,Sell,11252,29.0575,326955,478393.0,2025-11-07,STK,Yes,1
SRE,Sempra,Alexander Lisa Larroque,Corp Aff,Sell,4322,92.55,400002,11325.0,2025-11-07,STK,Yes,1
DBRG,Digitalbridge Group Inc,Jay S Wintrob,N/A,Award,8075,0.0,88341,8075.0,2025-11-07,STK,Yes,1
RGT,Royce Global Trust Inc,Charles M Royce,Sr. Adviser,Sell,10564,12.554,132621,805764.0,2025-11-07,UIT,No,11
KNX,Knight-Swift Transporation Inc,Cary M Flanagan,CAO,Sell,4300,45.0393,193669,5644.0,2025-11-07,STK,Yes,1
DIN,Dineequity Inc,Howard M Berk,N/A,Buy,4082,24.5,100009,41947.0,2025-11-07,STK,Yes,1
SKYQ,Sky Quarry Inc,Matthew C Flemming,N/A,Award,550000,0.0,207405,578789.0,2025-11-07,STK,No,1
SKYQ,Sky Quarry Inc,David O Sealock,N/A,Sell,38062,0.4,15225,477510.0,2025-11-07,STK,No,1
GLRE,Greenlight Cap. Re.,Thomas James Curnock,ChfUn'writingOff,Sell,9942,12.58,125070,169890.0,2025-11-07,STK,Yes,1
AVBC,Avidia Bancorp Inc,Michael Dennis Murphy,Chair,Buy,10000,15.1175,151174,70000.0,2025-11-07,STK,No,1
TK,Teekay Corporation Ltd,Heidi Locke Simon,Chair,Sell,47577,9.6743,460274,2021378.1586314153,2025-11-07,STK,Yes,1
EL,Estee Lauder Companies,American Shareholder,N/A,Sell,5670000,89.7,508599000,0.0,2025-11-06,STK,Yes,1
EL,Estee Lauder Companies,American Shareholder,N/A,Sell,2845283,89.7,255221885,0.0,2025-11-06,STK,Yes,1
EL,Estee Lauder Companies,American Shareholder,N/A,Sell,2786040,89.7,249907788,0.0,2025-11-06,STK,Yes,1
AL,Air Lease Corp Cl A,Gregory B Willis,CFO,Sell,23481,63.8303,1498800,56408.0,2025-11-06,STK,Yes,1
S,Sentinelone Inc Cl A,Tomer Weingarten,Chair & CEO,Sell,57941,16.4135,951015,1251780.0,2025-11-06,STK,Yes,1
NXGL,Nexgel Inc,Adam Levy,CEO,Sell,4000,2.5211,10084,367692.0,2025-11-06,STK,No,1
